who,EngText,JapText,EngText,JapText
シェイクスピア,All the world’s a stage+ And all the men and women merely players.,世界全てが舞台、すべての男女は、その役者にすぎない。
ウォルト･ディズニー,If you can dream it+ you can do it.,夢を見ることができれば、それは実現できる。
ルイーザ･メイ･オルコット,There is always light behind the clouds.,雲の向こうは、いつも青空。
ジャック・ウェルチ,Change before you have to.,変革せよ。変革を迫られる前に。
ボブ・マーリー,Love the life you live. Live the life you love.,自分の生きる人生を愛せ。自分の愛する人生を生きろ。
ココ・シャネル,My life didn’t please me+ so I created my life.,私の人生は楽しくなかったから、私は自分の人生を創造したわ。
ネルソン・マンデラ,It always seems impossible until it’s done.,何事も成功するまでは不可能に思えるものだ。
マザー・テレサ,Peace begins with a smile.,平和は微笑みから始まります。
パール・バック,Love dies only when growth stops.,愛が死ぬのは、愛の成長が止まる、その瞬間である。
ガンジー,There is more to life than increasing its speed.,速度を上げるばかりが、人生ではない。
ペレ,Everything is practice.,すべては練習のなかにある。
ユリウス・カエサル,Men willingly believe what they wish.,人は喜んで自己の望むものを信じるものだ
トルストイ,If you want to be happy+ be.,幸せになりたいのなら、なりなさい。
ゲーテ,Without haste+ but without rest.,急がずに、だが休まずに。
チャップリン,You’ll never find a rainbow if you’re looking down.,虹を見るためには、下を向いていてはいけない
アンディ･ウォーホル,Think rich+ look poor.,考えは豊かに、見た目は貧しく。
ロバート･バーン,The purpose of life is a life of purpose.,人生の目的は、目的のある人生を送ることだ。
ガンジー,Man lives freely only by his readiness to die.,死ぬ覚悟が出来ていれば、人は自由に生きられる。
ジョン・レノン,Life is what happens to you while you’re busy making other plans.,人生とは、人生以外のことを夢中で考えているときにある。
ビル・ゲイツ,Life's not fair. Get used to it.,人生は公平ではない。そのことに慣れよう。
アインシュタイン,Life isn’t worth living+ unless it is lived for someone else.,誰かの為に生きてこそ、人生には価値がある。
オスカー･ワイルド,I am not young enough to know everything.,すべてを知ろうとするほど私は若くはない。
パブロ・ピカソ,It takes a long time to grow young.,若くなるには、時間がかかる。
キケロ,To live is to think.,生きることとは、考えることだ。
エイブラハム･リンカーン,It’s not the years in your life that count. It’s the life in your years.,何歳まで生きたかは重要ではない。いかにして生きたかが重要だ。
エマーソン,It is not length of life+ but depth of life.,重要なのは人生の長さではない。人生の深さだ。
ヴィクトル･ユーゴー,The first symptom of true love in man is timidity+ in a girl it is boldness.,真の恋の兆候は、男においては臆病さに、女は大胆さにある。
オスカー･ワイルド,Men always want to be a woman's first love. Women like to be a man's last romance.,男は女の最初の恋人になりたがるが、女は男の最後の恋人になりたがる。
トム・ロビンズ,We waste time looking for the perfect lover+ instead of creating the perfect love.,私たちは完璧な愛を創る代わりに、完璧な恋人を探そうとして時を無駄にしている。
サン＝テグジュペリ,Love does not consist in gazing at each other+ but in looking together in the same direction.,愛はお互いを見つめ合うことではなく、ともに同じ方向を見つめることである。
マーク・トウェイン,Love seems the swiftest+ but it is the slowest of all growths.,愛はもっともすばやく育つものに見える。だがもっとも育つのが遅いもの、それが愛なのだ。
ココ・シャネル,As long as you know men are like children+ you know everything.,男は子どものようなものだと心得ている限り、あなたはあらゆることに精通していることになるわ。
オー・ヘンリー,If men knew how women pass the time when they are alone+ they’d never marry.,もし女性が一人でいる時にしていることを知れば、男性は決して結婚しないだろう。
ニーチェ,When a man is in love he endures more than at other times. He submits to everything.,人は恋をしている時には、他のいかなる時よりも、じっとよく耐える。つまり全てのことを甘受するのである。
パール・バック,Love dies only when growth stops.,愛が死ぬのは、愛の成長が止まる、その瞬間である。
ゲーテ,Love does not dominate; it cultivates.,愛は支配しない、愛は育てる。
エーリッヒ・フロム,Is love an art? Then it requires knowledge and effort.,愛は技術だろうか。技術だとしたら、知識と努力が必要だ。
劇作家ルニャール,We love without reason+ and without reason we hate.,私達は、何らの理由もないのに、人を愛し、また、何らの理由もないのに、人を憎む。
テニスン,‘Tis better to have loved and lost than never to have loved at all.,一度も愛したことがないよりは、愛して失った方が、どれほどましなことか。
ドストエフスキー,With love one can live even without happiness.,人間には愛がありさえすれば、幸福なんかなくったって、結構生きていけるものである。
ウィリアム･ワーズワース,You must love him+ ere to you. He will seem worthy of your love.,自分の愛に値する相手かどうか、考える前に愛せよ。
ウッドロー･ワイヤット,A man falls in love through his eyes+ a woman through her ears.,男は目で恋に落ち、女は耳で恋に落ちる。
ジョン・レノン,Love is like a flower? you’ve got to let it grow.,愛とは、育てなくてはいけない花のようなもの。
オヴィディウス,Love fed fat soon turns to boredom.,みちたりてしまった恋は、すぐに、退屈になってしまうものである。
エリック･シーガル,Love means not ever having to say that you are sorry.,愛とは、決して後悔しないことだ。
プラトン,At the touch of love+ everyone becomes a poet.,愛に触れると誰でも詩人になる。
トーマス・マン,It is love+ not reason+ that is stronger than death.,死より強いもの、それは、理性ではなくて、愛である。
フランソワ･モーリヤック,Human love is often but the encounter of two weaknesses.,人間の恋というのは、しばしば二人の人間の弱点が、出くわしたに過ぎないといった場合がある。
シェイクスピア,Love sought is good+ but given unsought+ is better.,求めて得られる恋もよいものだが、求めずして得られる恋のほうが、なおのことよいのである。
シェイクスピア,The course of true love never did run smooth.,真の恋の道は、茨の道である。
ゴッホ,Love is something eternal; the aspect may change, but not the essence.,愛は永久不滅なもの。姿かたちを変えることはあるが、本質は決して変わらない。
